Model,Features,Strategy,ROC-AUC,PR-AUC,Brier
Framingham (clinical baseline),Age+SBP+DM+HTN+CVD,N/A,0.7966770372267344,0.14437309482646432,0.09179100496612831
LR,kaggle_equiv,cost_sensitive,0.8021991585888194,0.14346555532679298,0.15836544129014385
LR,full_clinical,cost_sensitive,0.8229604661330269,0.16192324515053766,0.15145905966450213
